molecule,Baseline_R2,DeepModel_R2,Delta_R2
H2O,0.3669374585151672,0.6299092173576355,0.2629717588424683
CO2,0.3261678814888,0.6006299257278442,0.27446204423904424
O2,0.5985202789306641,0.5939264893531799,-0.004593789577484131
O3,0.7547114491462708,0.8953918814659119,0.1406804323196411
CH4,0.4792795181274414,0.6978105306625366,0.21853101253509521
N2,-0.0421019792556762,0.022337913513183594,0.0644398927688598
N2O,0.2132946848869323,0.1136515736579895,-0.09964311122894279
CO,0.0464645028114318,0.0006020665168762207,-0.04586243629455558
H2,0.2008442878723144,0.01874023675918579,-0.1821040511131286
H2S,0.5461464524269104,0.8161739706993103,0.2700275182723999
SO2,0.2198483943939209,0.35380762815475464,0.13395923376083374
NH3,0.4106679558753967,0.5652041435241699,0.15453618764877325
MEAN,0.34339840710163116,0.44234879811604816,0.09895039101441704
