molecule,Baseline_R2,DeepModel_R2,Delta_R2
H2O,0.884377121925354,0.918128252029419,0.03375113010406494
CO2,0.9968171715736388,0.9998888969421387,0.003071725368499867
O2,0.9541009068489076,0.9980770945549011,0.04397618770599354
O3,0.968946635723114,0.9995482563972473,0.0306016206741333
CH4,0.9958913922309875,0.999975323677063,0.0040839314460754395
N2,0.9160887598991394,0.9960210919380188,0.0799323320388794
N2O,0.968974471092224,0.9982277750968933,0.0292533040046693
CO,0.9964191317558287,0.9999074339866638,0.003488302230835072
H2,0.9309162497520448,0.9999166131019592,0.06900036334991444
H2S,0.9968358278274536,0.9996969103813171,0.0028610825538635254
SO2,0.9857953786849976,0.9984462857246399,0.012650907039642334
NH3,1.0,1.0,0.0
MEAN,0.9662635872761408,0.9923194944858551,0.026055907209714263
